Vuosi;Kk;Pv;Klo;RH;C
2020;9;25;17:10;87;14
2020;9;25;17:20;88;13,9
2020;9;25;17:30;85;14,3
2020;9;25;17:40;84;14,4
2020;9;25;17:50;83;14,6
2020;9;25;18:00;85;14,3
2020;9;25;18:10;83;14,4
2020;9;25;18:20;83;14,2
2020;9;25;18:30;82;14,3
2020;9;25;18:40;82;14,2
2020;9;25;18:50;82;14,2
2020;9;25;19:00;82;13,9
2020;9;25;19:10;82;13,8
2020;9;25;19:20;82;13,7
2020;9;25;19:30;83;13,5
2020;9;25;19:40;83;13,5
2020;9;25;19:50;82;13,4
2020;9;25;20:00;83;13,4
2020;9;25;20:10;83;13,2
2020;9;25;20:20;83;13
2020;9;25;20:30;83;13
2020;9;25;20:40;83;12,9
2020;9;25;20:50;83;12,8
2020;9;25;21:00;83;12,7
2020;9;25;21:10;83;12,6
2020;9;25;21:20;83;12,4
2020;9;25;21:30;83;12,4
2020;9;25;21:40;83;12,3
2020;9;25;21:50;84;12,1
2020;9;25;22:00;84;12
2020;9;25;22:10;85;11,9
2020;9;25;22:20;85;11,8
2020;9;25;22:30;85;11,5
2020;9;25;22:40;86;11,3
2020;9;25;22:50;86;11,3
2020;9;25;23:00;86;11,1
2020;9;25;23:10;88;10,7
2020;9;25;23:20;87;11
2020;9;25;23:30;87;10,7
2020;9;25;23:40;87;10,9
2020;9;25;23:50;87;11
2020;9;26;0:00;87;10,8
2020;9;26;0:10;88;10,6
2020;9;26;0:20;88;10,5
2020;9;26;0:30;89;10,6
2020;9;26;0:40;89;10,5
2020;9;26;0:50;88;10,6
2020;9;26;1:00;89;10,3
2020;9;26;1:10;90;10,2
2020;9;26;1:20;90;10,2
2020;9;26;1:30;90;10,1
2020;9;26;1:40;90;10
2020;9;26;1:50;89;10,2
2020;9;26;2:00;90;10,1
2020;9;26;2:10;90;10
2020;9;26;2:20;90;10,1
2020;9;26;2:30;90;10,1
2020;9;26;2:40;90;9,9
2020;9;26;2:50;91;9,9
2020;9;26;3:00;91;9,9
2020;9;26;3:10;91;9,8
2020;9;26;3:20;91;9,8
2020;9;26;3:30;90;9,8
2020;9;26;3:40;90;9,7
2020;9;26;3:50;91;9,7
2020;9;26;4:00;90;9,7
2020;9;26;4:10;91;9,6
2020;9;26;4:20;91;9,7
2020;9;26;4:30;91;9,6
2020;9;26;4:40;90;9,8
2020;9;26;4:50;90;10,1
2020;9;26;5:00;89;10,1
2020;9;26;5:10;89;10,2
2020;9;26;5:20;88;10,3
2020;9;26;5:30;88;10,5
2020;9;26;5:40;87;10,6
2020;9;26;5:50;86;10,8
2020;9;26;6:00;86;10,9
2020;9;26;6:10;86;11,2
2020;9;26;6:20;85;11,4
2020;9;26;6:30;85;11,6
2020;9;26;6:40;84;11,9
2020;9;26;6:50;83;12,1
2020;9;26;7:00;82;12,4
2020;9;26;7:10;82;12,5
2020;9;26;7:20;81;12,9
2020;9;26;7:30;80;13,4
2020;9;26;7:40;78;13,7
2020;9;26;7:50;78;14
2020;9;26;8:00;77;14,7
2020;9;26;8:10;76;15,1
2020;9;26;8:20;75;15,5
2020;9;26;8:30;74;16,1
2020;9;26;8:40;72;16
2020;9;26;8:50;71;16,4
2020;9;26;9:00;71;16,6
2020;9;26;9:10;70;16,8
2020;9;26;9:20;70;16,9
2020;9;26;9:30;69;17,5
2020;9;26;9:40;69;17,7
2020;9;26;9:50;68;17,8
2020;9;26;10:00;68;17,8
2020;9;26;10:10;66;18,1
2020;9;26;10:20;66;18,1
2020;9;26;10:30;66;18,5
2020;9;26;10:40;64;18,8
2020;9;26;10:50;64;18,9
2020;9;26;11:00;63;19,2
2020;9;26;11:10;62;19,3
2020;9;26;11:20;61;19,7
2020;9;26;11:30;61;19,4
2020;9;26;11:40;61;19,6
2020;9;26;11:50;60;20
2020;9;26;12:00;61;20,3
2020;9;26;12:10;61;20,1
2020;9;26;12:20;60;20,1
2020;9;26;12:30;60;20,3
2020;9;26;12:40;60;20,4
2020;9;26;12:50;61;20,4
2020;9;26;13:00;61;20,5
2020;9;26;13:10;61;20,6
2020;9;26;13:20;61;20,6
2020;9;26;13:30;62;20,6
2020;9;26;13:40;63;20,5
2020;9;26;13:50;64;20,3
2020;9;26;14:00;66;20,2
2020;9;26;14:10;66;20
2020;9;26;14:20;68;19,6
2020;9;26;14:30;69;19,3
2020;9;26;14:40;71;19
2020;9;26;14:50;72;18,7
2020;9;26;15:00;73;18,5
2020;9;26;15:10;72;18,4
2020;9;26;15:20;73;18,1
2020;9;26;15:30;75;17,8
2020;9;26;15:40;74;17,6
2020;9;26;15:50;74;17,5
2020;9;26;16:00;75;17,1
2020;9;26;16:10;75;17,1
2020;9;26;16:20;76;16,9
2020;9;26;16:30;76;16,8
2020;9;26;16:40;75;16,9
2020;9;26;16:50;74;16,8
2020;9;26;17:00;76;16,5
2020;9;26;17:10;77;16,3
2020;9;26;17:20;76;16,3
2020;9;26;17:30;78;16
2020;9;26;17:40;78;15,8
2020;9;26;17:50;78;15,6
2020;9;26;18:00;79;15,6
2020;9;26;18:10;83;14,9
2020;9;26;18:20;84;15,1
2020;9;26;18:30;84;15,1
2020;9;26;18:40;84;15
2020;9;26;18:50;83;15,2
2020;9;26;19:00;83;15
2020;9;26;19:10;82;15,3
2020;9;26;19:20;82;15
2020;9;26;19:30;83;14,7
2020;9;26;19:40;85;14,4
2020;9;26;19:50;83;14,7
2020;9;26;20:00;84;14,6
2020;9;26;20:10;83;14,8
2020;9;26;20:20;82;14,8
2020;9;26;20:30;84;14,3
2020;9;26;20:40;85;14,2
2020;9;26;20:50;86;14,1
2020;9;26;21:00;85;14,1
2020;9;26;21:10;83;14
2020;9;26;21:20;84;14,1
2020;9;26;21:30;84;13,9
2020;9;26;21:40;84;13,9
2020;9;26;21:50;86;13,3
2020;9;26;22:00;86;13,6
2020;9;26;22:10;84;13,7
2020;9;26;22:20;84;13,5
2020;9;26;22:30;85;13,4
2020;9;26;22:40;85;13
2020;9;26;22:50;85;13,2
2020;9;26;23:00;85;13,2
2020;9;26;23:10;85;13,2
2020;9;26;23:20;86;13
2020;9;26;23:30;85;13
2020;9;26;23:40;85;13
2020;9;26;23:50;85;12,8
2020;9;27;0:00;85;12,9
2020;9;27;0:10;87;12,6
2020;9;27;0:20;87;12,6
2020;9;27;0:30;87;12,5
2020;9;27;0:40;87;12,3
2020;9;27;0:50;87;12,3
2020;9;27;1:00;87;12,2
2020;9;27;1:10;87;12,1
2020;9;27;1:20;87;12
2020;9;27;1:30;88;12,1
2020;9;27;1:40;88;12
2020;9;27;1:50;88;11,9
2020;9;27;2:00;88;12
2020;9;27;2:10;88;11,8
2020;9;27;2:20;89;11,6
2020;9;27;2:30;89;11,7
2020;9;27;2:40;88;11,8
2020;9;27;2:50;88;11,8
2020;9;27;3:00;88;11,7
2020;9;27;3:10;89;11,5
2020;9;27;3:20;89;11,4
2020;9;27;3:30;90;11,4
2020;9;27;3:40;90;11,2
2020;9;27;3:50;91;11,2
2020;9;27;4:00;89;11,4
2020;9;27;4:10;91;11,1
2020;9;27;4:20;91;11,1
2020;9;27;4:30;90;11,2
2020;9;27;4:40;90;11,4
2020;9;27;4:50;90;11,3
2020;9;27;5:00;90;11,3
2020;9;27;5:10;90;11,4
2020;9;27;5:20;90;11,4
2020;9;27;5:30;89;11,5
2020;9;27;5:40;89;11,7
2020;9;27;5:50;89;11,9
2020;9;27;6:00;88;12,1
2020;9;27;6:10;87;12,3
2020;9;27;6:20;87;12,3
2020;9;27;6:30;85;12,8
2020;9;27;6:40;83;13,3
2020;9;27;6:50;84;13,7
2020;9;27;7:00;82;13,8
2020;9;27;7:10;82;13,7
2020;9;27;7:20;82;13,8
2020;9;27;7:30;83;14
2020;9;27;7:40;81;14,4
2020;9;27;7:50;79;14,6
2020;9;27;8:00;78;15,4
2020;9;27;8:10;76;15,5
2020;9;27;8:20;76;15,7
2020;9;27;8:30;75;15,8
2020;9;27;8:40;75;16,6
2020;9;27;8:50;72;17
2020;9;27;9:00;70;17,2
2020;9;27;9:10;68;17,7
2020;9;27;9:20;67;18,2
2020;9;27;9:30;63;18,4
2020;9;27;9:40;62;18,8
2020;9;27;9:50;63;19
2020;9;27;10:00;62;19
2020;9;27;10:10;61;19,5
2020;9;27;10:20;58;19,3
2020;9;27;10:30;57;19,5
2020;9;27;10:40;57;19,7
2020;9;27;10:50;56;19,6
2020;9;27;11:00;56;19,7
2020;9;27;11:10;54;19,7
2020;9;27;11:20;55;19,8
2020;9;27;11:30;54;19,8
2020;9;27;11:40;54;20,2
2020;9;27;11:50;54;20,4
2020;9;27;12:00;54;20,3
2020;9;27;12:10;54;20,3
2020;9;27;12:20;55;20,2
2020;9;27;12:30;56;20,4
2020;9;27;12:40;57;20,2
2020;9;27;12:50;57;20
2020;9;27;13:00;56;19,9
2020;9;27;13:10;57;19,8
2020;9;27;13:20;57;19,7
2020;9;27;13:30;57;19,6
2020;9;27;13:40;57;19,6
2020;9;27;13:50;57;19,5
2020;9;27;14:00;59;19,4
2020;9;27;14:10;62;18,9
2020;9;27;14:20;63;18,5
2020;9;27;14:30;63;18,2
2020;9;27;14:40;63;17,8
2020;9;27;14:50;65;17,5
2020;9;27;15:00;66;17,1
2020;9;27;15:10;67;16,7
2020;9;27;15:20;68;16,2
2020;9;27;15:30;70;15,8
2020;9;27;15:40;77;14,7
2020;9;27;15:50;78;14,1
2020;9;27;16:00;75;14,5
2020;9;27;16:10;77;13,9
2020;9;27;16:20;76;14
2020;9;27;16:30;78;13,5
2020;9;27;16:40;79;13,3
2020;9;27;16:50;79;13,1
2020;9;27;17:00;81;12,7
2020;9;27;17:10;81;12,8
2020;9;27;17:20;82;12,4
2020;9;27;17:30;82;12,7
2020;9;27;17:40;83;12,4
2020;9;27;17:50;84;12,4
2020;9;27;18:00;84;12,2
2020;9;27;18:10;85;12,1
2020;9;27;18:20;87;11,9
2020;9;27;18:30;87;12
2020;9;27;18:40;87;11,9
2020;9;27;18:50;87;11,9
2020;9;27;19:00;89;11,6
2020;9;27;19:10;89;11,7
2020;9;27;19:20;88;11,7
2020;9;27;19:30;89;11,5
2020;9;27;19:40;90;11,4
2020;9;27;19:50;91;11,1
2020;9;27;20:00;90;11,4
2020;9;27;20:10;90;11,3
2020;9;27;20:20;90;11,3
2020;9;27;20:30;91;11,1
2020;9;27;20:40;91;11,2
2020;9;27;20:50;91;11,2
2020;9;27;21:00;91;11,2
2020;9;27;21:10;91;11,2
2020;9;27;21:20;91;11,3
2020;9;27;21:30;90;11,5
2020;9;27;21:40;90;11,3
2020;9;27;21:50;90;11,3
2020;9;27;22:00;91;11,2
2020;9;27;22:10;91;11,2
2020;9;27;22:20;91;11,2
2020;9;27;22:30;90;11,3
2020;9;27;22:40;90;11,3
2020;9;27;22:50;90;11,4
2020;9;27;23:00;90;11
2020;9;27;23:10;89;11,2
2020;9;27;23:20;89;11
2020;9;27;23:30;89;11,1
2020;9;27;23:40;89;11,2
2020;9;27;23:50;90;10,9
2020;9;28;0:00;90;11
2020;9;28;0:10;89;11
2020;9;28;0:20;89;10,8
2020;9;28;0:30;87;11,1
2020;9;28;0:40;88;11
2020;9;28;0:50;88;10,8
2020;9;28;1:00;87;11,1
2020;9;28;1:10;87;10,9
2020;9;28;1:20;88;10,8
2020;9;28;1:30;89;10,5
2020;9;28;1:40;89;10,4
2020;9;28;1:50;89;10,5
2020;9;28;2:00;90;10,3
2020;9;28;2:10;90;10,3
2020;9;28;2:20;89;10,1
2020;9;28;2:30;89;10,1
2020;9;28;2:40;89;10,1
2020;9;28;2:50;89;10,1
2020;9;28;3:00;90;10
2020;9;28;3:10;89;9,9
2020;9;28;3:20;88;10
2020;9;28;3:30;88;9,9
2020;9;28;3:40;89;9,6
2020;9;28;3:50;89;9,5
2020;9;28;4:00;88;9,7
2020;9;28;4:10;89;9,5
2020;9;28;4:20;89;9,4
2020;9;28;4:30;90;9,3
2020;9;28;4:40;92;9,1
2020;9;28;4:50;91;9,2
2020;9;28;5:00;91;9,2
2020;9;28;5:10;91;9,3
2020;9;28;5:20;89;9,5
2020;9;28;5:30;90;9,6
2020;9;28;5:40;88;9,8
2020;9;28;5:50;87;10
2020;9;28;6:00;85;10,2
2020;9;28;6:10;86;10,3
2020;9;28;6:20;84;10,5
2020;9;28;6:30;83;10,7
2020;9;28;6:40;82;10,9
2020;9;28;6:50;82;11,2
2020;9;28;7:00;81;11,1
2020;9;28;7:10;80;11,3
2020;9;28;7:20;79;11,5
2020;9;28;7:30;79;12,2
2020;9;28;7:40;78;12,2
2020;9;28;7:50;78;12,3
2020;9;28;8:00;76;12,7
2020;9;28;8:10;75;13
2020;9;28;8:20;73;13,6
2020;9;28;8:30;72;13,7
2020;9;28;8:40;71;14
2020;9;28;8:50;69;14,6
2020;9;28;9:00;63;15
2020;9;28;9:10;61;15,1
2020;9;28;9:20;59;15,2
2020;9;28;9:30;59;15,2
2020;9;28;9:40;59;15,4
2020;9;28;9:50;59;15,5
2020;9;28;10:00;59;15,8
2020;9;28;10:10;57;15,8
2020;9;28;10:20;58;16,7
2020;9;28;10:30;56;16,2
2020;9;28;10:40;55;16,1
2020;9;28;10:50;55;16,5
2020;9;28;11:00;53;16,6
2020;9;28;11:10;53;16,7
2020;9;28;11:20;53;17,1
2020;9;28;11:30;52;16,9
2020;9;28;11:40;51;16,7
2020;9;28;11:50;52;17,1
2020;9;28;12:00;51;17
2020;9;28;12:10;51;17
2020;9;28;12:20;51;17,3
2020;9;28;12:30;55;17
2020;9;28;12:40;54;17
2020;9;28;12:50;53;16,7
2020;9;28;13:00;55;16,9
2020;9;28;13:10;55;16,7
2020;9;28;13:20;54;16,6
2020;9;28;13:30;56;16,5
2020;9;28;13:40;56;16,2
2020;9;28;13:50;57;16,2
2020;9;28;14:00;61;15,9
2020;9;28;14:10;62;15,7
2020;9;28;14:20;60;15,9
2020;9;28;14:30;63;15,6
2020;9;28;14:40;64;15,5
2020;9;28;14:50;64;15,3
2020;9;28;15:00;66;15
2020;9;28;15:10;67;14,7
2020;9;28;15:20;69;14,3
2020;9;28;15:30;71;13,9
2020;9;28;15:40;72;13,6
2020;9;28;15:50;72;13,6
2020;9;28;16:00;72;13,3
2020;9;28;16:10;72;13,3
2020;9;28;16:20;72;13,2
2020;9;28;16:30;74;12,8
2020;9;28;16:40;74;12,6
2020;9;28;16:50;73;12,5
2020;9;28;17:00;73;12,4
2020;9;28;17:10;74;12,1
2020;9;28;17:20;75;11,9
2020;9;28;17:30;75;11,7
2020;9;28;17:40;76;11,5
2020;9;28;17:50;77;11,4
2020;9;28;18:00;78;11,2
2020;9;28;18:10;79;11,1
2020;9;28;18:20;79;11
2020;9;28;18:30;80;10,9
2020;9;28;18:40;81;10,7
2020;9;28;18:50;82;10,6
2020;9;28;19:00;82;10,6
2020;9;28;19:10;83;10,5
2020;9;28;19:20;84;10,3
2020;9;28;19:30;84;10,2
2020;9;28;19:40;84;10,1
2020;9;28;19:50;85;9,9
2020;9;28;20:00;85;9,9
2020;9;28;20:10;86;9,8
2020;9;28;20:20;86;9,7
2020;9;28;20:30;87;9,4
2020;9;28;20:40;88;9,4
2020;9;28;20:50;88;9,3
2020;9;28;21:00;89;9
2020;9;28;21:10;90;9
2020;9;28;21:20;90;8,8
2020;9;28;21:30;90;8,7
2020;9;28;21:40;90;8,6
2020;9;28;21:50;91;8
2020;9;28;22:00;93;8,2
2020;9;28;22:10;93;7,6
2020;9;28;22:20;94;7,6
2020;9;28;22:30;94;7,6
2020;9;28;22:40;94;7,6
2020;9;28;22:50;94;7,3
2020;9;28;23:00;95;7
2020;9;28;23:10;96;6,7
2020;9;28;23:20;96;6,3
2020;9;28;23:30;96;6,4
2020;9;28;23:40;97;6,3
2020;9;28;23:50;97;7,4
2020;9;29;0:00;97;6,7
2020;9;29;0:10;95;7,1
2020;9;29;0:20;96;6,4
2020;9;29;0:30;98;5,8
2020;9;29;0:40;97;6,6
2020;9;29;0:50;96;6,7
2020;9;29;1:00;98;7,1
2020;9;29;1:10;97;6,9
2020;9;29;1:20;97;6,5
2020;9;29;1:30;98;6,8
2020;9;29;1:40;98;7,3
2020;9;29;1:50;97;7,8
2020;9;29;2:00;96;8,1
2020;9;29;2:10;95;8,2
2020;9;29;2:20;95;8,3
2020;9;29;2:30;96;8,3
2020;9;29;2:40;95;8,4
2020;9;29;2:50;95;8,4
2020;9;29;3:00;95;8,4
2020;9;29;3:10;93;8,7
2020;9;29;3:20;93;8,7
2020;9;29;3:30;92;8,9
2020;9;29;3:40;92;8,9
2020;9;29;3:50;94;8,8
2020;9;29;4:00;94;8,7
2020;9;29;4:10;93;8,7
2020;9;29;4:20;94;8,7
2020;9;29;4:30;94;8,7
2020;9;29;4:40;95;8,7
2020;9;29;4:50;94;8,7
2020;9;29;5:00;94;8,8
2020;9;29;5:10;94;8,9
2020;9;29;5:20;92;8,9
2020;9;29;5:30;93;9
2020;9;29;5:40;93;9
2020;9;29;5:50;93;9
2020;9;29;6:00;93;9
2020;9;29;6:10;93;9,2
2020;9;29;6:20;93;9,1
2020;9;29;6:30;94;9,1
2020;9;29;6:40;93;9,1
2020;9;29;6:50;93;9,2
2020;9;29;7:00;93;9,3
2020;9;29;7:10;92;9,4
2020;9;29;7:20;93;9,5
2020;9;29;7:30;92;9,6
2020;9;29;7:40;92;9,8
2020;9;29;7:50;91;10
2020;9;29;8:00;91;10
2020;9;29;8:10;91;10,1
2020;9;29;8:20;91;10,2
2020;9;29;8:30;90;10,3
2020;9;29;8:40;91;10,6
2020;9;29;8:50;90;10,7
2020;9;29;9:00;89;10,9
2020;9;29;9:10;89;11,2
2020;9;29;9:20;89;11,2
2020;9;29;9:30;89;11,2
2020;9;29;9:40;89;11,2
2020;9;29;9:50;89;11,4
2020;9;29;10:00;88;11,5
2020;9;29;10:10;87;11,8
2020;9;29;10:20;88;11,7
2020;9;29;10:30;87;11,9
2020;9;29;10:40;87;12,1
2020;9;29;10:50;84;12,3
2020;9;29;11:00;84;12,2
2020;9;29;11:10;83;12,4
2020;9;29;11:20;85;12,3
2020;9;29;11:30;85;12,3
2020;9;29;11:40;84;12,5
2020;9;29;11:50;84;12,5
2020;9;29;12:00;84;12,7
2020;9;29;12:10;83;12,7
2020;9;29;12:20;83;12,7
2020;9;29;12:30;83;12,8
2020;9;29;12:40;82;12,8
2020;9;29;12:50;83;12,8
2020;9;29;13:00;84;12,8
2020;9;29;13:10;83;12,6
2020;9;29;13:20;84;12,6
2020;9;29;13:30;84;12,7
2020;9;29;13:40;85;12,6
2020;9;29;13:50;85;12,5
2020;9;29;14:00;85;12,5
2020;9;29;14:10;86;12,4
2020;9;29;14:20;86;12,3
2020;9;29;14:30;86;12,2
2020;9;29;14:40;87;12,1
2020;9;29;14:50;87;12,1
2020;9;29;15:00;88;12
2020;9;29;15:10;89;11,9
2020;9;29;15:20;88;11,9
2020;9;29;15:30;89;11,8
2020;9;29;15:40;89;11,7
2020;9;29;15:50;89;11,6
2020;9;29;16:00;90;11,6
2020;9;29;16:10;90;11,5
2020;9;29;16:20;90;11,4
2020;9;29;16:30;91;11,4
2020;9;29;16:40;91;11,3
2020;9;29;16:50;91;11,3
2020;9;29;17:00;91;11,2
2020;9;29;17:10;91;11,2
2020;9;29;17:20;92;11,2
2020;9;29;17:30;92;11,2
2020;9;29;17:40;93;11,1
2020;9;29;17:50;93;11,1
2020;9;29;18:00;93;11,1
2020;9;29;18:10;93;11,1
2020;9;29;18:20;93;11,1
2020;9;29;18:30;93;11
2020;9;29;18:40;93;11
2020;9;29;18:50;94;10,9
2020;9;29;19:00;94;11
2020;9;29;19:10;94;11
2020;9;29;19:20;95;11
2020;9;29;19:30;94;10,9
2020;9;29;19:40;95;10,9
2020;9;29;19:50;95;10,8
2020;9;29;20:00;95;10,8
2020;9;29;20:10;95;10,8
2020;9;29;20:20;96;10,8
2020;9;29;20:30;96;10,7
2020;9;29;20:40;96;10,8
2020;9;29;20:50;96;10,8
2020;9;29;21:00;96;10,8
2020;9;29;21:10;96;10,8
2020;9;29;21:20;96;10,7
2020;9;29;21:30;96;10,7
2020;9;29;21:40;96;10,7
2020;9;29;21:50;97;10,6
2020;9;29;22:00;97;10,5
2020;9;29;22:10;97;10,5
2020;9;29;22:20;97;10,6
2020;9;29;22:30;97;10,6
2020;9;29;22:40;97;10,6
2020;9;29;22:50;97;10,6
2020;9;29;23:00;97;10,6
2020;9;29;23:10;97;10,6
2020;9;29;23:20;97;10,6
2020;9;29;23:30;97;10,6
2020;9;29;23:40;97;10,6
2020;9;29;23:50;97;10,5
2020;9;30;0:00;98;10,5
2020;9;30;0:10;98;10,5
2020;9;30;0:20;98;10,5
2020;9;30;0:30;98;10,5
2020;9;30;0:40;98;10,5
2020;9;30;0:50;98;10,5
2020;9;30;1:00;98;10,5
2020;9;30;1:10;98;10,5
2020;9;30;1:20;98;10,5
2020;9;30;1:30;98;10,5
2020;9;30;1:40;98;10,4
2020;9;30;1:50;98;10,4
2020;9;30;2:00;98;10,4
2020;9;30;2:10;98;10,4
2020;9;30;2:20;98;10,4
2020;9;30;2:30;99;10,3
2020;9;30;2:40;98;10,4
2020;9;30;2:50;98;10,3
2020;9;30;3:00;98;10,3
2020;9;30;3:10;99;10,3
2020;9;30;3:20;99;10,3
2020;9;30;3:30;98;10,3
2020;9;30;3:40;98;10,3
2020;9;30;3:50;98;10,4
2020;9;30;4:00;98;10,4
2020;9;30;4:10;98;10,3
2020;9;30;4:20;98;10,4
2020;9;30;4:30;98;10,3
2020;9;30;4:40;97;10,4
2020;9;30;4:50;97;10,4
2020;9;30;5:00;97;10,4
2020;9;30;5:10;97;10,5
2020;9;30;5:20;97;10,6
2020;9;30;5:30;96;10,6
2020;9;30;5:40;97;10,7
2020;9;30;5:50;95;10,8
2020;9;30;6:00;95;10,8
2020;9;30;6:10;96;10,9
2020;9;30;6:20;96;10,9
2020;9;30;6:30;95;11
2020;9;30;6:40;94;11,2
2020;9;30;6:50;94;11,3
2020;9;30;7:00;92;11,3
2020;9;30;7:10;92;11,3
2020;9;30;7:20;93;11,4
2020;9;30;7:30;92;11,4
2020;9;30;7:40;92;11,5
2020;9;30;7:50;91;11,6
2020;9;30;8:00;91;11,6
2020;9;30;8:10;91;11,7
2020;9;30;8:20;91;11,7
2020;9;30;8:30;90;11,8
2020;9;30;8:40;90;11,9
2020;9;30;8:50;89;11,9
2020;9;30;9:00;89;12
2020;9;30;9:10;89;12,1
2020;9;30;9:20;89;12
2020;9;30;9:30;87;12,2
2020;9;30;9:40;87;12,3
2020;9;30;9:50;85;12,5
2020;9;30;10:00;85;12,7
2020;9;30;10:10;83;12,8
2020;9;30;10:20;84;12,7
2020;9;30;10:30;83;12,7
2020;9;30;10:40;83;12,7
2020;9;30;10:50;82;12,8
2020;9;30;11:00;78;12,9
2020;9;30;11:10;78;12,8
2020;9;30;11:20;80;13
2020;9;30;11:30;80;13
2020;9;30;11:40;78;12,9
2020;9;30;11:50;78;13,2
2020;9;30;12:00;78;13,4
2020;9;30;12:10;77;13,3
2020;9;30;12:20;76;13,6
2020;9;30;12:30;77;13,6
2020;9;30;12:40;74;13,6
2020;9;30;12:50;73;13,7
2020;9;30;13:00;74;13,6
2020;9;30;13:10;75;13,6
2020;9;30;13:20;75;13,7
2020;9;30;13:30;75;13,6
2020;9;30;13:40;77;13,6
2020;9;30;13:50;75;13,6
2020;9;30;14:00;75;13,5
2020;9;30;14:10;77;13,4
2020;9;30;14:20;76;13,4
2020;9;30;14:30;77;13,2
2020;9;30;14:40;78;13,1
2020;9;30;14:50;79;13
2020;9;30;15:00;79;13
2020;9;30;15:10;79;12,8
2020;9;30;15:20;80;12,7
2020;9;30;15:30;85;12,4
2020;9;30;15:40;83;12,5
2020;9;30;15:50;81;12,7
2020;9;30;16:00;81;12,7
2020;9;30;16:10;82;12,6
2020;9;30;16:20;84;12,3
2020;9;30;16:30;86;11,9
2020;9;30;16:40;85;12,1
2020;9;30;16:50;85;11,7
2020;9;30;17:00;85;11,7
2020;9;30;17:10;84;11,7
2020;9;30;17:20;82;11,8
2020;9;30;17:30;82;11,6
2020;9;30;17:40;82;11,6
2020;9;30;17:50;82;11,5
2020;9;30;18:00;82;11,5
2020;9;30;18:10;82;11,4
2020;9;30;18:20;83;11,3
